Commodity,Geolocation,Annual 1990,Annual 1991,Annual 1992,Annual 1993,Annual 1994,Annual 1995,Annual 1996,Annual 1997,Annual 1998,Annual 1999,Annual 2000,Annual 2001,Annual 2002,Annual 2003,Annual 2004,Annual 2005,Annual 2006,Annual 2007,Annual 2008,Annual 2009,Annual 2010,Annual 2011,Annual 2012,Annual 2013,Annual 2014,Annual 2015,Annual 2016,Annual 2017,Annual 2018,Annual 2019
White corn,PHILIPPINES,65.13,59.13,62.13,62.91,65.22,69.72,59.84,56.81,47.71,55.1,57.5,52.9,51.77,53,60.3,55.15,57.44,62.83,67.36,55.07,56.27,75.51,67.7,72.8,63.53,56.26,54.02,55.12,62.65,55.42
White corn,NATIONAL CAPITAL REGION (NCR),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
White corn,CORDILLERA ADMINISTRATIVE REGION (CAR),66.35,100.55,..,..,88.19,90.84,98.48,115.78,73.29,59.15,104.05,..,74.1,71.56,60.9,68.5,..,..,..,..,..,45.58,..,..,..,..,..,..,..,..
White corn,REGION I (ILOCOS REGION),77.08,..,56.84,..,61.69,79.98,74.7,61.09,80.79,75.07,89.23,81.08,54.53,56.43,70.84,58.26,82.29,80.2,78.17,60.02,73.92,..,111.05,..,65.4,61.45,69.73,58.53,54.86,66.53
White corn,REGION II (CAGAYAN VALLEY),73.28,66.13,74.22,72.63,77.26,77.16,83.66,83.15,62.69,..,..,..,..,59.66,62.74,..,54.59,..,..,..,..,..,..,..,..,..,..,..,..,..
White corn,REGION III (CENTRAL LUZON),..,..,67.67,..,67.5,65.98,..,42.05,56.61,..,51.39,..,50.48,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
White corn,REGION IV-A (CALABARZON),..,..,63.5,..,72.73,..,..,..,49.82,..,..,..,29.28,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
White corn,MIMAROPA REGION,59.06,41.55,67.43,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
White corn,REGION V (BICOL REGION),60.48,55.98,62.96,50.29,56.94,54.67,47.26,44,41.74,56.96,46.7,42.27,..,51.89,50.2,..,..,77,..,..,..,..,51.36,..,..,..,..,..,..,..
White corn,REGION VI (WESTERN VISAYAS),70.8,34.2,50.97,71.21,66.51,..,55.63,58.45,40.85,50.64,..,..,..,..,58.06,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
White corn,REGION VII (CENTRAL VISAYAS),66.99,64.56,62.31,55.79,72.72,68.83,80.88,73.08,65.48,65.82,82.04,..,65.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
White corn,REGION VIII (EASTERN VISAYAS),65.93,54.45,50.82,53.73,52.26,60.21,48.57,50.56,48.51,47.88,62.03,48.91,48.8,50.91,53.34,57.16,65.15,66.33,61.48,55.62,51.6,75.18,65.98,63.77,55.61,50.33,61.35,..,..,..
White corn,REGION IX (ZAMBOANGA PENINSULA),63.75,59.9,63.58,66.93,68.34,66.88,60.16,63.01,54.51,61.79,68.19,58.31,67.97,60.68,65.06,61.78,62.7,60.83,70.36,68.05,58.39,69.87,69.32,71.48,..,51.99,..,..,..,44.65
White corn,REGION X (NORTHERN MINDANAO),60.29,68.17,65.25,61.23,63.14,68.48,61.19,56.79,41.34,..,56.7,..,53.73,..,..,..,..,..,..,..,..,..,..,..,100.78,..,..,..,..,..
White corn,REGION XI (DAVAO REGION),73.86,65.12,70.36,62.84,69.77,67.46,56.88,95.76,86.27,82.35,86.64,58.75,55.96,..,70.3,65.15,..,..,38.5,..,..,..,..,..,..,..,..,49.13,..,61.37
White corn,REGION XII (SOCCSKSARGEN),79.32,58.2,57.73,56.27,60.11,58.69,56.33,64.8,56.67,67.3,64,54.65,61,..,97.65,..,92.45,92.52,94.65,93.64,93.86,99.13,..,106.54,96.1,93.73,95.59,92.44,93.36,93.21
White corn,REGION XIII (CARAGA),60.78,57.19,68.13,61.99,65.56,74.88,56.16,57.32,61.67,63.08,..,..,..,..,69.69,..,90.5,97,..,..,46.42,86.77,..,..,..,..,..,..,..,93.21
White corn,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),64.2,57.32,61.24,55.28,63.49,72.21,60.87,52.57,41.88,45.61,68.2,61.29,68.22,60.48,58.85,62.64,61.76,66.07,69.46,63.24,51.98,75.5,66.49,68.63,61.68,51.83,47.13,49.8,53.68,44.2
Yellow corn,PHILIPPINES,60.43,54.28,60.85,57.25,58.38,63.33,56.15,53.78,48.03,45.95,50.12,48.47,47.73,51.39,58.96,52.73,62.18,63.9,59.35,52.46,58.46,60.35,57.79,52.72,61.32,58.02,57.86,60.61,65.9,57.17
Yellow corn,NATIONAL CAPITAL REGION (NCR),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Yellow corn,CORDILLERA ADMINISTRATIVE REGION (CAR),56.59,47.12,49.79,52.91,50.52,65.51,62.61,64.65,54.1,46.95,52.22,52.57,45.17,44.25,54.78,50.58,58.2,64,59.98,46.61,58.03,61.87,61.5,57.01,57.16,64.06,63.22,56.32,60.89,53.79
Yellow corn,REGION I (ILOCOS REGION),68.61,55.7,68.7,72.65,72.3,75.51,64.37,64.07,56.27,56.95,64.27,69.17,61.67,54.7,74.17,62.39,77.56,76.71,73,66.14,65.32,67.59,66.65,62.73,64.12,61.46,64.34,58.22,61.18,54.13
Yellow corn,REGION II (CAGAYAN VALLEY),68.09,63.6,68.02,62.58,64.37,70.25,69.87,67.3,52.52,52,59.76,59.75,53.28,..,64.85,47.69,51.83,60,..,..,45.76,..,..,58.75,..,..,..,..,..,56.08
Yellow corn,REGION III (CENTRAL LUZON),60.74,50.63,60.17,57.33,52.39,67.18,55.72,54.31,41.93,53.5,..,64.58,38.28,..,60.67,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Yellow corn,REGION IV-A (CALABARZON),46.38,53.74,48.33,44.13,45.18,38.27,39.41,40.5,44.56,38.44,32.84,41.06,..,36.96,51.9,51.74,56.33,57.12,51.33,44.88,44.18,53.75,47.12,44.37,49.07,51.63,50.62,41.25,..,49.11
Yellow corn,MIMAROPA REGION,65.93,49.32,66.31,58.7,57.83,56.14,61.68,51.6,50.64,44.19,51.63,48.8,49.63,49.33,67.9,55.13,69.95,73.71,65.74,66.35,67.19,68.79,67.29,63.4,66.08,58.88,60.38,59.97,63.14,67.19
Yellow corn,REGION V (BICOL REGION),63.79,60.9,61.78,56.47,60.48,..,62.28,66.57,55.76,54.27,60.82,54.31,51.87,55.43,62.46,64.31,62.86,52.16,..,..,..,..,..,..,..,..,..,..,..,..
Yellow corn,REGION VI (WESTERN VISAYAS),71.99,70.44,67.77,67.72,66.14,68.89,63.99,67.5,58.88,57.6,55.64,55.16,59.01,61.34,64.65,59.89,67.1,64.37,65.44,58.61,66.65,69.56,70.96,69.98,66.29,57.96,57.65,53.01,64.83,59.78
Yellow corn,REGION VII (CENTRAL VISAYAS),49.8,58.64,62.31,59.64,59.27,73.99,62.24,62.4,53.29,60.73,73,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Yellow corn,REGION VIII (EASTERN VISAYAS),..,46.46,47.96,44.41,46.26,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Yellow corn,REGION IX (ZAMBOANGA PENINSULA),45.66,53.57,59.26,58.22,66.54,54.7,66.67,63.93,57.06,58.23,57.78,58.04,62.26,57.56,55.46,55.18,54.41,57.16,57.93,59.57,56.26,56.86,57.16,47.74,..,..,..,..,..,30.17
Yellow corn,REGION X (NORTHERN MINDANAO),51.93,49.27,64.1,52.23,57.18,68.03,54.72,53.79,43.59,44.49,..,42.93,34.04,..,52.63,..,..,..,41.8,..,..,..,..,..,115.51,..,..,..,..,..
Yellow corn,REGION XI (DAVAO REGION),..,52.96,76.01,60.45,63.88,62.37,51.56,94.77,82.19,..,..,58,..,..,61.87,57.6,..,..,..,96.57,..,..,..,..,..,..,..,50.37,48.38,57.72
Yellow corn,REGION XII (SOCCSKSARGEN),85.56,48,62.67,..,47.89,57.54,49.33,63.37,59.83,61.61,52.99,52.28,39.45,..,96.7,..,91.93,92.46,93.57,92.75,92.94,97.75,53.91,101.08,94.05,93.77,92.76,92.57,92.55,93.27
Yellow corn,REGION XIII (CARAGA),82.5,50.08,61.31,55.48,59.06,..,..,74.86,57.74,..,..,..,38.35,..,48,..,..,..,..,..,..,67.15,..,..,..,..,..,..,..,99.16
Yellow corn,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),67.9,49.93,63.52,57.06,59.94,66.75,53.95,41.65,32.04,30.21,38.79,37.57,42.29,42.04,50.26,43.97,43.96,46.04,41.84,39.58,46.92,43.2,47.56,39.05,51.95,48.03,49.5,48.62,60.36,48.43
Sweet potato,PHILIPPINES,43.44,47.99,44.8,38.79,39.06,37.5,39.49,39.98,32.52,38.87,36.9,38.93,45.1,45.94,46.41,48.83,47.18,46.61,46.89,43.17,44.19,47.07,45.17,43.3,46.54,44.95,42.33,44.16,42.81,43.43
Sweet potato,NATIONAL CAPITAL REGION (NCR),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sweet potato,CORDILLERA ADMINISTRATIVE REGION (CAR),59.32,76.39,75.48,63.73,52.24,43.12,51.65,61.39,56.74,62.16,47.76,62.74,66.75,75.69,67.48,61,57.69,47.1,49.46,47.16,48.71,55.82,53.89,54.2,58.06,53.89,49.13,55.02,49.38,63.28
Sweet potato,REGION I (ILOCOS REGION),26.28,36.2,34.73,37.54,33.04,32.31,32.58,42.83,31.38,40.07,38.68,42.54,40.6,40.63,52,52.91,55.69,56.68,54.72,54.37,54.25,55.27,49.09,52.19,51.43,41.29,44.43,46.54,53.11,55.65
Sweet potato,REGION II (CAGAYAN VALLEY),54.31,55.9,48.51,49.25,48.17,47.53,54.23,74.21,55.67,50.22,58.37,54.48,50,52.13,44.86,48.9,44.69,47.51,45.31,38.06,37.23,40.54,36.38,40.56,37.76,43.72,48.27,51.79,58.12,52.99
Sweet potato,REGION III (CENTRAL LUZON),48.4,45.48,61.95,44.34,51.9,52.45,59.2,47.24,31.63,50,34.84,43.82,37.62,22.25,36.71,27.35,35.35,43.7,43.48,36.26,30.95,36.26,35.6,32.88,37.48,43.12,44.51,45.16,44.23,42.74
Sweet potato,REGION IV-A (CALABARZON),45.04,58.49,47.46,42.89,45.07,45.03,46.15,46.45,45.8,50.43,48.62,42.17,42.45,45.38,46.5,47.46,51.1,54.01,42.66,36.26,39.76,43.68,48.25,44.06,47.95,42.76,44.76,47.66,44.19,45.5
Sweet potato,MIMAROPA REGION,48.72,40.92,43.58,35.4,42.09,55.15,56.48,56.45,40.15,55.73,54.62,53.85,50.25,50.33,48.36,46.18,55.88,54.71,55.29,58.09,54.35,45.53,50.08,50.52,51.53,51.89,51.15,48.45,48.03,46.56
Sweet potato,REGION V (BICOL REGION),35.1,43.3,37.08,47.57,44.53,40.31,49.32,43.89,40.54,40.37,44.59,45.45,43.61,41.03,43.5,43.28,43.08,39.25,41.35,35.59,47.1,47.03,48.24,45.73,47.44,44.29,45.88,50.25,49.21,53.55
Sweet potato,REGION VI (WESTERN VISAYAS),43.25,46.89,39.73,33.48,39.96,30.83,32.16,37.91,33.22,46.36,44.95,45.34,52.43,46.59,43.54,45.63,53.48,52.69,49.83,47.27,44.65,44.94,45.14,46.38,44.25,46.52,42.22,42.57,42.23,41.23
Sweet potato,REGION VII (CENTRAL VISAYAS),36.75,68.55,60,44.44,60.78,42.37,60.91,65.91,63.2,78.68,61.3,56.03,66.59,65.12,61.29,59.94,57.14,56.31,57.91,58.15,57.55,55.12,52.04,47.66,48.27,51.99,49.46,51.6,55.27,49.8
Sweet potato,REGION VIII (EASTERN VISAYAS),46.36,62.81,68.27,59.25,46.36,49.76,50.47,48.76,45.05,46.52,42.53,43.29,46.5,49.96,51.76,55.41,57.74,55.41,58.58,57.32,51.52,58.51,56.28,52.74,49.23,46.87,46.48,47.02,40.82,42.52
Sweet potato,REGION IX (ZAMBOANGA PENINSULA),41.03,38.45,33.14,27.28,43.93,59.6,47.56,38.06,39.24,38.12,36.65,40.95,42.17,39.61,37.66,37.08,36.84,44.75,43.17,43.89,46.19,45.41,45.82,45.11,44.36,45.6,40.82,43.97,46.42,45.99
Sweet potato,REGION X (NORTHERN MINDANAO),43.19,32.63,41.42,40.18,41.83,54.17,49.65,50.57,42.95,49.72,51.18,46.72,52.08,41,45.47,33.99,39.03,35.59,35.04,35.47,37.59,42.89,42.69,41.92,47.76,48.46,44.48,45.35,43.03,40.23
Sweet potato,REGION XI (DAVAO REGION),55.29,53.28,50.9,46.4,47.98,53.63,57.09,54.5,47.43,52.15,51.55,46.04,44.88,48.81,46.53,43.49,39.8,38.11,40.71,40.94,41.46,38.55,38.17,38.84,38.47,44.94,47.33,49.3,52.87,53.56
Sweet potato,REGION XII (SOCCSKSARGEN),51.58,53.97,70.89,71.03,51.36,56.34,60.78,71.49,54.71,53.03,50.36,50.78,53.02,64.56,73.2,65.44,52.88,41.43,44.97,44.04,41.83,39.01,36.63,37.32,39.62,34.22,40.66,51.27,45.36,43.91
Sweet potato,REGION XIII (CARAGA),66.21,60.15,68.78,70.71,57.38,53.27,52.02,51.46,59.03,48.83,49.46,51.7,53.26,50.13,44.94,44.68,41.36,42.16,42.31,43.98,40.82,39.85,46.34,48.48,50.62,51.4,51.87,51.73,49.86,48.51
Sweet potato,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),30.53,22.56,16.39,..,43.21,24.6,27.64,38.91,28.77,28.36,45.78,58.64,57.32,49.52,39.59,54.1,54.2,57.84,40.81,41.77,51.12,57.95,56,66.21,57.4,51.31,60.01,61.67,59.34,55.53
Banana saba,PHILIPPINES,47.17,50.26,44.77,44.13,41.46,33.73,32.97,38.46,40.21,36.89,34.54,36.36,36.68,44.87,39.81,38.72,37.2,35.54,36.46,40.7,42.88,40.41,41.88,47.34,34.41,32.64,36.06,34.84,34.41,35.76
Banana saba,NATIONAL CAPITAL REGION (NCR),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Banana saba,CORDILLERA ADMINISTRATIVE REGION (CAR),50.56,66.51,85.57,74.13,55.43,29.27,24.69,32.1,53.09,43.33,55.28,87.87,58.87,42.54,40.94,39.23,45.19,43.52,49.38,54.6,53.19,53.59,56.69,57.98,44.97,40.14,35.55,34.18,36.82,50.06
Banana saba,REGION I (ILOCOS REGION),55.68,37.12,..,..,59.37,61.22,64.95,65.66,69.9,71.43,84.8,90.74,80.86,67.13,66.2,62.13,71.96,66.73,74.18,71.92,80.3,79.64,86.78,88.06,60.26,59.88,57.9,49.23,54.57,55.68
Banana saba,REGION II (CAGAYAN VALLEY),40.16,59.57,67.38,55.76,49.34,62.26,69.09,72.13,76.67,75,76.61,78.96,70.61,64.71,64.66,65.87,63.97,67.52,62.65,66.58,69.57,66.67,66.53,66.32,45.32,44.76,51.59,45.35,43.6,43.39
Banana saba,REGION III (CENTRAL LUZON),60.91,42.89,58.73,55.56,55.56,53.23,54.68,49.84,46.73,56.25,56.61,74.18,69.65,69.27,70.48,71.3,71.01,61.6,76.14,62,47.07,53.64,52.27,60.42,66.35,56.72,48.89,38.2,34.42,43.81
Banana saba,REGION IV-A (CALABARZON),53.14,56.85,57.12,56.18,51.45,46.53,49.32,48.99,48.93,49.37,41.4,41.4,43.62,51.92,48.02,51.22,51.59,41.32,30.16,30.44,31.24,34.11,38.28,47.21,46.37,43.74,42.83,47.43,45.44,49.29
